@relation NucleiDtector-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R1_predicted

@attribute C5_1 numeric
@attribute C5_2 numeric
@attribute C5_3 numeric
@attribute C5_4 numeric
@attribute C5_5 numeric
@attribute C5_6 numeric
@attribute C5_7 numeric
@attribute C5_8 numeric
@attribute C5_9 numeric
@attribute C5_10 numeric
@attribute C5_11 numeric
@attribute C5_12 numeric
@attribute C5_13 numeric
@attribute C5_14 numeric
@attribute C5_15 numeric
@attribute C5_16 numeric
@attribute C5_17 numeric
@attribute C5_18 numeric
@attribute C5_19 numeric
@attribute C5_20 numeric
@attribute C5_21 numeric
@attribute C5_22 numeric
@attribute C5_23 numeric
@attribute C5_24 numeric
@attribute C5_25 numeric
@attribute C5_26 numeric
@attribute C5_27 numeric
@attribute C5_28 numeric
@attribute C5_29 numeric
@attribute C5_30 numeric
@attribute C5_31 numeric
@attribute C5_32 numeric
@attribute C5_33 numeric
@attribute C5_34 numeric
@attribute C5_35 numeric
@attribute C5_36 numeric
@attribute C5_37 numeric
@attribute C5_38 numeric
@attribute C5_39 numeric
@attribute C5_40 numeric
@attribute C5_41 numeric
@attribute C5_42 numeric
@attribute C5_43 numeric
@attribute C5_44 numeric
@attribute C5_45 numeric
@attribute C5_46 numeric
@attribute C5_47 numeric
@attribute C5_48 numeric
@attribute C5_49 numeric
@attribute C5_50 numeric
@attribute C5_51 numeric
@attribute C5_52 numeric
@attribute C5_53 numeric
@attribute C5_54 numeric
@attribute C5_55 numeric
@attribute C5_56 numeric
@attribute C5_57 numeric
@attribute C5_58 numeric
@attribute C5_59 numeric
@attribute C5_60 numeric
@attribute C5_61 numeric
@attribute C5_62 numeric
@attribute C5_63 numeric
@attribute C5_64 numeric
@attribute C5_65 numeric
@attribute C5_66 numeric
@attribute C5_67 numeric
@attribute C5_68 numeric
@attribute C5_69 numeric
@attribute C5_70 numeric
@attribute C5_71 numeric
@attribute C5_72 numeric
@attribute C5_73 numeric
@attribute C5_74 numeric
@attribute C5_75 numeric
@attribute C5_76 numeric
@attribute C5_77 numeric
@attribute C5_78 numeric
@attribute C5_79 numeric
@attribute C5_80 numeric
@attribute C5_81 numeric
@attribute class {0,1}

@data
1,0.999999999,-1,-0.99999987,-0.682033152,-1,1,0.999999876,-0.999998957,-1,0.999636183,-1,1,0.999971427,0.999999994,0.817819415,-0.999886972,-0.999751228,0.999998499,0.999996154,-0.999169947,-1,0.999999441,-0.947432928,1,0.689408832,1,0.999239848,-1,-0.999999996,0.999896281,-1,0.999999992,-0.113752963,0.999999882,0.645785405,-1,0.020443544,-0.999999875,-1,-1,-0.767334228,0.993902925,-1,1,-1,1,0.999238453,0,0.1,0.2,0.2,0.2,0.8,0.9,0.7,0.4,0,0.7,0.7,0,0.7,0.8,0.1,0.2,0.5,0.4,0.7,0.6,0.1,0.7,0.7,0,0.7,0.8,0.1,0.2,10.8,0.1,0.2,1,1
0.994140769,1,-0.999999982,-1,0.926685668,-0.999935024,0.999797789,1,1,-1,-0.502141917,-1,1,0.958815038,-1,-0.999997938,-0.999886889,-0.999768486,0.999998513,0.999996049,-0.999145038,-1,0.999999392,-0.954004313,1,0.689048572,1,0.999205174,-1,-0.999999996,0.999885004,-1,0.999999992,-0.113752963,0.999999882,0.645785405,-1,0.020443544,-0.999999875,-1,-1,-0.767334228,0.993902925,-1,1,-1,1,0.999238453,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.7,0.4,0,0.8,0.9,0.3,0.7,0.8,0,0.6,0.8,0.6,0.9,0.6,0,0.8,0.9,0.3,0.7,0.8,0,0.6,10.8,0.1,0.6,1,1
1,0.999999999,-1,-1,0.188753369,-0.99999468,0.999990507,0.999999956,1,-1,0.999763861,-0.999999302,1,0.99908869,-0.999999986,-0.999999996,-0.99988692,-0.999760171,0.999998507,0.999996093,-0.999157438,-1,0.999999416,-0.950818891,1,0.68918742,1,0.999220993,-1,-0.999999996,0.999890528,-1,0.999999992,-0.06337989,0.999999879,0.647480617,-1,0.019697311,-0.999999873,-1,-1,-0.76651793,0.993902866,-1,1,-1,1,0.999243107,0.1,0.1,0.2,0.3,0.4,0.6,0.9,0.6,0.2,0.2,0.7,0.8,0.1,0.8,0.7,0.1,0.3,0.5,0.6,0.6,0.5,0.1,0.7,0.8,0.1,0.8,0.7,0.1,0.3,10.8,0.1,0.3,1,1
0.999976298,1,-0.999999979,-1,0.643863689,-0.999979753,0.999996983,0.999999999,1,-1,-0.664365968,-0.999999978,1,0.998376372,-1,-1,-0.99988692,-0.999760171,0.999998507,0.999996093,-0.999157438,-1,0.999999416,-0.950818891,1,0.68918742,1,0.999220993,-1,-0.999999996,0.999890528,-1,0.999999992,-0.06337989,0.999999879,0.647480617,-1,0.019697311,-0.999999873,-1,-1,-0.76651793,0.993902866,-1,1,-1,1,0.999243107,0.1,0.2,0.3,0.2,0.2,0.8,0.8,0.6,0.3,0.1,0.7,0.8,0.1,0.7,0.7,0.2,0.3,0.6,0.6,0.6,0.5,0.2,0.7,0.8,0.1,0.7,0.7,0.2,0.3,10.3,0,0.3,1,1
1,1,-1,-0.999999992,-0.322244935,-0.99999931,0.999995025,0.999987385,1,-1,-0.197502191,-1,1,0.999999966,0.999985289,-1,-0.99988692,-0.999760171,0.999998507,0.999996093,-0.999157438,-1,0.999999416,-0.950818891,1,0.68918742,1,0.999220993,-1,-0.999999996,0.999890528,-1,0.999999992,-0.06337989,0.999999879,0.647480617,-1,0.019697311,-0.999999873,-1,-1,-0.76651793,0.993902866,-1,1,-1,1,0.999243107,0.1,0.1,0.3,0.2,0.3,0.7,0.9,0.6,0.3,0.1,0.6,0.8,0,0.7,0.7,0.1,0.2,0.6,0.4,0.7,0.5,0,0.6,0.8,0,0.7,0.7,0.1,0.2,9.5,0,0.3,1,1
0.924692028,1,-0.995294151,0.999999989,-0.947715752,-0.999939593,0.999968852,0.999598495,-1,-1,0.928742286,-0.999998984,1,0.955070973,1,0.997978646,-0.999886889,-0.999768486,0.999998513,0.999996049,-0.999145038,-1,0.999999392,-0.954004313,1,0.689048572,1,0.999205174,-1,-0.999999996,0.999885004,-1,0.999999992,-0.06337989,0.999999879,0.647480617,-1,0.019697311,-0.999999873,-1,-1,-0.76651793,0.993902866,-1,1,-1,1,0.999243107,0,0.1,0.1,0.1,0.3,0.7,0.9,0.7,0.4,0.1,0.6,0.9,0.2,0.7,0.7,0.3,0.1,0.4,0.3,0.7,0.6,0.1,0.6,0.9,0.2,0.7,0.7,0.3,0.1,10.8,0.1,0.1,1,1
0.999997085,1,-0.999999604,-1,0.843565559,-0.999998985,0.999883321,0.999999998,1,-1,0.746050645,-0.999999608,1,0.944020343,-1,-0.999968601,-0.99988692,-0.999760171,0.999998507,0.999996093,-0.999157438,-1,0.999999416,-0.950818891,1,0.68918742,1,0.999220993,-1,-0.999999996,0.999890528,-1,0.999999992,-0.113752963,0.999999882,0.645785405,-1,0.020443544,-0.999999875,-1,-1,-0.767334228,0.993902925,-1,1,-1,1,0.999238453,0,0.2,0.2,0.1,0.2,0.9,0.8,0.7,0.4,0.1,0.8,0.8,0,0.9,0.8,0.2,0.6,0.8,0.7,0.8,0.6,0,0.8,0.8,0,0.9,0.8,0.2,0.6,11.8,0.5,0.6,1,1
0.995210732,1,-1,-1,0.92642388,-0.999938424,0.999797784,1,1,-1,-0.501895466,-1,1,0.959208302,-1,-1,-0.99988692,-0.999760171,0.999998507,0.999996093,-0.999157438,-1,0.999999416,-0.950818891,1,0.68918742,1,0.999220993,-1,-0.999999996,0.999890528,-1,0.999999992,-0.157944636,0.999999885,0.644292432,-1,0.021137723,-0.999999877,-1,-1,-0.768064107,0.993902982,-1,1,-1,1,0.999234029,0,0.1,0.1,0.2,0.4,0.6,0.9,0.6,0.5,0.1,0.8,0.8,0.1,0.8,0.9,0.1,0.7,0.9,0.7,0.9,0.6,0,0.8,0.8,0.1,0.8,0.9,0.1,0.7,9,0.4,0.7,1,1
1,1,-0.999999996,-1,-0.106199642,-1,0.99999994,0.999995045,1,-1,-0.954513946,-0.99999951,1,0.999990237,0.999999997,-0.999999997,-0.99988692,-0.999760171,0.999998507,0.999996093,-0.999157438,-1,0.999999416,-0.950818891,1,0.68918742,1,0.999220993,-1,-0.999999996,0.999890528,-1,0.999999992,-0.157944636,0.999999885,0.644292432,-1,0.021137723,-0.999999877,-1,-1,-0.768064107,0.993902982,-1,1,-1,1,0.999234029,0,0.1,0.1,0.2,0.3,0.7,0.9,0.8,0.3,0,0.7,0.8,0.1,0.8,0.9,0.3,0.3,0.6,0.6,0.6,0.6,0.1,0.7,0.8,0.1,0.8,0.9,0.3,0.3,12,0.2,0.3,1,1
1,1,-1,-1,0.190167576,-0.999999263,0.999999999,0.999999952,1,-1,0.964610108,-1,1,0.999870995,-1,-0.9999996,-0.99988692,-0.999760171,0.999998507,0.999996093,-0.999157438,-1,0.999999416,-0.950818891,1,0.68918742,1,0.999220993,-1,-0.999999996,0.999890528,-1,0.999999992,-0.157944636,0.999999885,0.644292432,-1,0.021137723,-0.999999877,-1,-1,-0.768064107,0.993902982,-1,1,-1,1,0.999234029,0,0.1,0.1,0.1,0.3,0.7,0.9,0.7,0.4,0,0.7,0.8,0,0.6,0.9,0.3,0.4,0.6,0.5,0.7,0.6,0,0.7,0.8,0,0.6,0.9,0.3,0.4,10.3,0.3,0.4,1,1
